smiles,pIC50
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC=C2)C(F)(F)F)C3=CN=C4N3C=CN=C4N,1
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC=C(C=C5)OC(F)(F)F,1
C1=CC(=CC(=C1)NC(=O)NC2=C(C(=CC=C2)Cl)Cl)C3=CN=C4N3C=CN=C4N,1
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C3=CN=C4N3C=CN=C4N,1
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)Cl)C3=CN=C4N3C=CN=C4N,1
CC1=CC(=CC(=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CC=C4NC(=O)C5=CC=CC=C5)C,0
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)NC5=CC(=CC=C5)Cl,1
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)NC5=CC(=CC(=C5)C(F)(F)F)C(F)(F)F,1
C1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4N,0
COC1=CC=C(C=C1)NC(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CN=C4N,1
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC(=C5)Cl)Cl,1
CC1=C(C=C(C=C1)C(=O)NC2=NC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)NC5=C(C=C(C=C5)F)F)Cl,1
C1=CC(=CC(=C1)NC(=O)C2=CC=C(C=C2)OC(F)(F)F)C3=CN=C4N3C=CN=C4N,1
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC=C5)OC(F)(F)F,1
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=CC=C(C=C5)C(F)(F)F,1
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC=C5)OC(F)(F)F,1
C1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC(=C5)F)F,1
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=C(C(=CC=C5)Cl)Cl,0
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4NC(=O)C5=C(C(=CC=C5)Cl)Cl,0
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=C(C=C5)F)C(F)(F)F,1
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC=C(C=C5)C(F)(F)F,1
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC=C(C=C5)Br,1
C1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC=C5)C(F)(F)F,1
C1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC(=CC(=C5)C(F)(F)F)C(F)(F)F,1
C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CC=C4NC(=O)C5=CC=CC=C5,0
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)Cl)C(F)(F)F,0
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC=C2)OC(F)(F)F)C3=CN=C4N3C=CN=C4N,0
C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CC=C4NC(=O)C5=CC=CC=C5,0
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)Cl)C(F)(F)F,0
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC=C2)OC(F)(F)F)C3=CN=C4N3C=CN=C4N,0
C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CC=C4NC(=O)C5=CC=CC=C5,0
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)Cl)C(F)(F)F,0
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC=C2)OC(F)(F)F)C3=CN=C4N3C=CN=C4N,0
C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CC=C4NC(=O)C5=CC=CC=C5,0
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)Cl)C(F)(F)F,0
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC=C2)OC(F)(F)F)C3=CN=C4N3C=CN=C4N,0
C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CC=C4NC(=O)C5=CC=CC=C5,0
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)Cl)C(F)(F)F,0
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC=C2)OC(F)(F)F)C3=CN=C4N3C=CN=C4N,0
C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CC=C4NC(=O)C5=CC=CC=C5,0
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)Cl)C(F)(F)F,0
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC=C2)OC(F)(F)F)C3=CN=C4N3C=CN=C4N,0
C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CC=C4NC(=O)C5=CC=CC=C5,0
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)Cl)C(F)(F)F,0
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC=C2)OC(F)(F)F)C3=CN=C4N3C=CN=C4N,0